k,seed,split,auroc,f1,accuracy,precision,recall,loss
1,1,ood,0.49612209836136145,0.6181647940074907,0.49483854983896275,0.4968641814259194,0.8178214551160294,3.0140588478808987
1,1,test,0.9997270059956628,0.9975144987572494,0.9972489683631361,0.9966887417218543,0.9983416252072969,0.01415734239887662
1,2,ood,0.5111269288546836,0.6124195624195624,0.5026013708811627,0.5016604290759581,0.7859443389214634,4.048047150791557
1,2,test,0.9998282093804481,0.9987557030277893,0.9986244841815681,0.9991701244813278,0.9983416252072969,0.009848057183354695
1,3,ood,0.5058005884978997,0.511331097112002,0.5067305310099925,0.5066061441193159,0.5161450161037245,3.441249828200044
1,3,test,0.9988306331589915,0.9979261717129821,0.9977074736359468,0.9983402489626556,0.9975124378109452,0.018814444214196712
1,4,ood,0.5248102439671757,0.5614194378239322,0.5213064662647617,0.5180117285674393,0.6127673631183417,3.140404932013906
1,4,test,0.9979882638091593,0.9966804979253112,0.9963319578175149,0.9975083056478405,0.9958540630182421,0.023113467689878577
1,5,ood,0.5034693776963195,0.298092392553436,0.49558179866215213,0.4898961284230406,0.2142208274836898,4.6116091235389485
1,5,test,0.9999455712888549,0.9983443708609272,0.9981659789087575,0.996694214876033,1.0,0.009718573366059729
1,6,ood,0.49825448272010425,0.5760800620198746,0.5032620365017756,0.5024279304198168,0.6750350978610951,4.700115024886012
1,6,test,0.9989092996555683,0.9975103734439834,0.9972489683631361,0.9983388704318937,0.9966832504145937,0.019363689450107115
1,7,ood,0.5069979937853701,0.6327851009795622,0.498472210752333,0.4991176610864692,0.8642332149640763,4.312057672142293
1,7,test,0.9999872432708253,0.9979244499792445,0.9977074736359468,0.999168744804655,0.9966832504145937,0.007344121667209539
1,8,ood,0.522295790389278,0.47039161660418266,0.5158559748947065,0.5191425722831505,0.430010735816335,3.9813934254362846
1,8,test,0.9997410383977549,0.9983416252072969,0.9981659789087575,0.9983416252072969,0.9983416252072969,0.012520452609674132
1,9,ood,0.496641324305846,0.5809274443602288,0.4977289619291436,0.49837441626765977,0.6962589809232802,3.6583905684979463
1,9,test,0.999842667006846,0.9975083056478405,0.9972489683631361,0.9991680532445923,0.9958540630182421,0.011038864870937212
1,10,ood,0.5061600153656998,0.6234893089556864,0.49830704434717976,0.4989831853578692,0.830787017920555,5.241418611206597
1,10,test,0.9995199217587277,0.9991708126036484,0.9990829894543787,0.9991708126036484,0.9991708126036484,0.006872019685956268
1,11,ood,0.4907667321469373,0.5068438003220612,0.49417788421834996,0.4944623360301626,0.5198612602196713,4.6091638168854
1,11,test,0.9998834885402049,0.9966804979253112,0.9963319578175149,0.9975083056478405,0.9958540630182421,0.022957542483462257
