k,test_auroc_mean,test_auroc_std,test_f1_mean,test_f1_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,ood_auroc_mean,ood_auroc_std,ood_f1_mean,ood_f1_std,ood_precision_mean,ood_precision_std,ood_recall_mean,ood_recall_std
1,0.9995878938640134,0.0005330907110293,0.997635781447431,0.0009741284219083,0.9980102160368933,0.0013259902308534427,0.9972636815920397,0.0015477645182201227,0.5061667008268366,0.0108673972800416,0.5393683756550361,0.0799229641226812,0.5036687487859488,0.007996637169551322,0.6096044264596582,0.17358266909905812
2,0.9996115393295876,0.0003598241556168,0.9949450936058456,0.0016813706896256,0.9961690391405142,0.0020472007270694033,0.993730074388948,0.0028200813263365163,0.5047264421696172,0.0133116979051487,0.5082631493680679,0.1136401348420427,0.505104471643379,0.010362131157011525,0.5655917086464612,0.2393524233135586
3,0.9993641407012228,0.0004969156021669,0.9967945595718696,0.001470154025949,0.9985385635264983,0.0018315351608957765,0.9950625869262867,0.0027252538211736572,0.5014640017542094,0.0104149108898203,0.563006330840151,0.0644015145734751,0.5002397275802178,0.005867236233265669,0.6674539598645635,0.16554790014838452
4,0.9991608848667672,0.0009673686683633,0.9945604471802714,0.0033473190675031,0.9941339017110057,0.004080255133769307,0.9950000000000001,0.004474669076937978,0.4944971287554788,0.0110569339283583,0.5487639491147751,0.0741883096635929,0.4972453807307515,0.007769987679959751,0.641171855644562,0.1752829562076928
5,0.9936925702284064,0.0048059332689247,0.980719583821296,0.0137453527187149,0.9883950131535851,0.007591103519198065,0.9733618233618234,0.022740889560629703,0.4980007230002867,0.0107772323062266,0.4806902693580115,0.1055733020692772,0.4988464153241979,0.007913361568323595,0.5011602939962011,0.19542642307249297
6,0.9857517948717948,0.0293325701173796,0.967751577915488,0.0441501459380722,0.9753122388600388,0.009912013173305591,0.9638,0.07591102825364912,0.4910573202991319,0.0152174996934555,0.4423040603467812,0.1085863032915918,0.4892826169412837,0.017851224170364017,0.43053926831282513,0.16727374464950986
7,0.985431103411514,0.0158047150230695,0.958727793060132,0.0276564043732771,0.9675845633016019,0.022537253020630046,0.9505952380952379,0.03939379073279594,0.4929873952485203,0.0147859973279865,0.4896502169048072,0.1174170076967121,0.4962727774534635,0.011892632179064846,0.5293335535552068,0.21287461479052186
8,0.9555092592592592,0.0476504791886058,0.8990114042894277,0.0576975514031272,0.9142770925650099,0.10214941227279425,0.8939814814814817,0.05066831885750491,0.4897525299093696,0.0130331074906705,0.3834285729121717,0.1468455115382816,0.49163400904568544,0.012532649514885068,0.3707779337682715,0.252470984663714
9,0.88905043162199,0.1176332807678244,0.8056832420981019,0.2007909419391965,0.7919415134080539,0.23633910079728923,0.843661971830986,0.21039602771603202,0.483057357454412,0.0185990183884868,0.4194187003765526,0.170203191270383,0.4594574022386812,0.10914833334890241,0.45240730035510773,0.31145651792110096
10,0.8689035916824196,0.0789771496120323,0.7994724416888597,0.053360431474369,0.7562144176827891,0.10229919548542848,0.8652173913043478,0.06967953992922016,0.4765849074774531,0.0157216893664324,0.4637127361107189,0.1192276831040352,0.48049878025982284,0.011264571313876658,0.4964984722107523,0.2420122784545077
11,0.7089319923371648,0.11364619354236,0.7402376280641001,0.0599295819230198,0.5979500332691823,0.1009034605223091,0.9902777777777777,0.022575769469090262,0.4990004407824729,0.0254569760532498,0.6284461335437534,0.0791460683694568,0.4969443651241675,0.006985740166230921,0.8946981583945826,0.21986668961735625
12,0.7457013574660635,0.0157300844305599,0.7661380841909567,0.0252520680894266,0.6302401238447749,0.04632741060198218,0.9846153846153844,0.0520522459906888,0.4963735883900552,0.0252826607128043,0.626832077904361,0.1008529769770868,0.4966312578168982,0.0089480822023537,0.902906928730696,0.22969647815307387
