k,test_auroc_mean,test_auroc_std,test_f1_mean,test_f1_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,ood_auroc_mean,ood_auroc_std,ood_f1_mean,ood_f1_std,ood_precision_mean,ood_precision_std,ood_recall_mean,ood_recall_std
1,0.9994561593740698,0.0003395847928781,0.998196662417548,0.0005902900168909,0.9981355601502109,0.0009616208768500634,0.9982587064676615,0.0008881864400726476,0.4974453425533018,0.0092319532051445,0.535991106164956,0.1326014759122364,0.4994664190033653,0.007012399905687726,0.6493433008425573,0.25230504735471937
2,0.999552164184793,0.000377306754365,0.9976068579150676,0.0016561136075169,0.9978205439035491,0.0011169230668413499,0.9973963868225294,0.0027898851644487547,0.5002655810946257,0.0093374779857549,0.4628508563677092,0.2119662962413627,0.5015395585158767,0.011466247217962426,0.5530274244176442,0.31836647920243083
3,0.9994068902704834,0.0005480401346264,0.9963163304909166,0.0022984608936275,0.9966745636361634,0.004086575537780198,0.9959666203059806,0.0017418166641538673,0.4973864814696896,0.0136675012839267,0.5493174371409172,0.1792485952099284,0.5029036872001911,0.012311044176824314,0.7317652403766727,0.3115786781553271
4,0.998712041226747,0.0014537782838704,0.9945566405609884,0.0025650705232581,0.9949053614356552,0.003195912882986658,0.9942156862745097,0.0033946881754790487,0.4893180665684301,0.0106003073216319,0.5555633303977798,0.1604957649292666,0.5012445674464635,0.014534255402958352,0.7275194118618865,0.28463290005386205
5,0.9933493285882364,0.0034871920329944,0.9825565412516338,0.0059271277711946,0.9818187894335555,0.006494586553885602,0.9833333333333334,0.008435064378316289,0.4966661641485125,0.0121434302682217,0.51453422899356,0.1552595173156556,0.4996078462354439,0.010136689928174146,0.61482322815133,0.2677595150599132
6,0.9949389743589744,0.0024328812095165,0.982369984337068,0.007849274498048,0.9781717774178077,0.011843358599779908,0.9868,0.01349307814750721,0.4831182280311021,0.0089237481979766,0.5905269200467427,0.0681123539699649,0.4952564733614252,0.0042114922345823065,0.7584049231785891,0.16939770968518467
7,0.9941942075337596,0.0034700570220115,0.9731813621075238,0.0117876880263995,0.9782361562566949,0.013631458471975708,0.9684523809523808,0.019513797175956582,0.4891167322401227,0.0118680823655184,0.5444328270435868,0.1323148887170576,0.4943700471208549,0.004977830228225695,0.6613208326449694,0.20406827647509465
8,0.984562757201646,0.0096825663139945,0.9558741342877702,0.0225390205943136,0.960117402996301,0.02976304305528612,0.9523148148148148,0.028542906207422582,0.496904432844692,0.0134606046187384,0.5128037955076394,0.2186784818659689,0.5053994500278525,0.019213907678058872,0.6791301833801421,0.34413118343324217
9,0.9759200363471148,0.0187855552688913,0.9333846681085128,0.0404241936024365,0.9472867146222494,0.052639784104260054,0.9218309859154928,0.05036435802102411,0.496383931141157,0.0100987832088736,0.5263917012921813,0.1238281822608053,0.49718943877349264,0.0070175948068796215,0.621774326780109,0.25088247091707333
10,0.9051275992438562,0.0983330783329731,0.8527472270635477,0.0556740432554378,0.8134175845128159,0.08296550038917101,0.9054347826086957,0.06240105091349781,0.4853950840760134,0.0140794707900193,0.52678953946675,0.1249998253113989,0.49294928182922204,0.011546808607980163,0.6307822567321989,0.25791562945333674
11,0.9350095785440612,0.0572074684965549,0.8665184911260659,0.0521446765728537,0.8262381447159818,0.10353864794696784,0.925,0.07491602402871034,0.4923949801766209,0.0114374766748248,0.517956087125367,0.1703143626877907,0.495364728532672,0.012225332915520803,0.6478027424417645,0.3144013769363908
12,0.7860859728506787,0.185854564611012,0.8125067729568398,0.0623514700091034,0.7565243085429101,0.144819397546785,0.9153846153846154,0.10335390907018079,0.4911922075578385,0.0148767937008502,0.5654649002037483,0.1297053165713492,0.49780291313700004,0.004464113446777902,0.7355237072526021,0.28674212740590044
